Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Adjective_freq
kindest,70,63,65,58,1.37,1.8513,0.75,1.8062,Adjective,69.0,1.0,Adjective,69,69
learned,2964,2061,2915,2038,58.12,3.472,24.57,3.3143,Verb,2891.0,0.98,Verb.Adjective,2891.69,69
literal,69,63,66,61,1.35,1.8451,0.75,1.8062,Adjective,69.0,1.0,Adjective,69,69
manic,70,54,57,47,1.37,1.8513,0.64,1.7404,Adjective,69.0,0.99,Adjective.Name,69.1,69
presumptuous,69,64,69,64,1.35,1.8451,0.76,1.8129,Adjective,69.0,1.0,Adjective,69,69
rewarding,85,78,83,78,1.67,1.9345,0.93,1.8976,Adjective,69.0,0.81,Adjective.Verb,69.16,69
rosy,169,71,68,61,3.31,2.2304,0.85,1.8573,Name,100.0,0.59,Name.Adjective,100.69,69
satanic,69,46,52,34,1.35,1.8451,0.55,1.6721,Adjective,69.0,1.0,Adjective,69,69
seasick,70,52,68,50,1.37,1.8513,0.62,1.7243,Adjective,69.0,1.0,Adjective,69,69
shared,534,473,525,467,10.47,2.7284,5.64,2.6758,Verb,466.0,0.87,Verb.Adjective,466.69,69
tiniest,68,66,67,65,1.33,1.8388,0.79,1.8261,Adjective,69.0,1.0,Adjective,69,69
unthinkable,69,66,68,65,1.35,1.8451,0.79,1.8261,Adjective,69.0,1.0,Adjective,69,69
warped,83,70,80,67,1.63,1.9243,0.83,1.8513,Adjective,69.0,0.83,Adjective.Verb,69.14,69
automated,73,56,57,48,1.43,1.8692,0.67,1.7559,Adjective,68.0,0.93,Adjective.Verb,68.5,68
bottled,133,113,116,101,2.61,2.1271,1.35,2.0569,Adjective,68.0,0.52,Adjective.Verb,68.64,68
buzzing,221,157,194,140,4.33,2.3464,1.87,2.1987,Verb,145.0,0.68,Verb.Adjective,145.68,68
claustrophobic,68,60,62,55,1.33,1.8388,0.72,1.7853,Adjective,68.0,1.0,Adjective,68,68
coloured,80,49,66,43,1.57,1.9085,0.58,1.699,Adjective,68.0,0.85,Adjective.Verb,68.12,68
crashing,321,282,287,259,6.29,2.5079,3.36,2.4518,Verb,253.0,0.79,Verb.Adjective,253.68,68
cursed,377,272,337,260,7.39,2.5775,3.24,2.4362,Verb,309.0,0.82,Verb.Adjective,309.68,68
evident,68,58,67,58,1.33,1.8388,0.69,1.7709,Adjective,68.0,1.0,Adjective,68,68
gibberish,95,76,89,72,1.86,1.9823,0.91,1.8865,Adjective,68.0,0.72,Adjective.Verb.Noun,68.26.1,68
illegitimate,68,61,65,59,1.33,1.8388,0.73,1.7924,Adjective,68.0,1.0,Adjective,68,68
intolerable,69,61,60,55,1.35,1.8451,0.73,1.7924,Adjective,68.0,1.0,Adjective,68,68
ominous,68,54,64,51,1.33,1.8388,0.64,1.7404,Adjective,68.0,1.0,Adjective,68,68
prospective,68,51,66,49,1.33,1.8388,0.61,1.716,Adjective,68.0,1.0,Adjective,68,68
secretive,68,62,67,61,1.33,1.8388,0.74,1.7993,Adjective,68.0,1.0,Adjective,68,68
temporal,69,53,66,50,1.35,1.8451,0.63,1.7324,Adjective,68.0,0.99,Adjective.Noun,68.1,68
to,1156570,8383,1138435,8380,22677.84,6.0632,99.94,3.9235,To,787798.0,0.68,To.Preposition.Adverb.Noun.Adjective,787798.366834.931.79.68,68
twin,532,339,395,286,10.43,2.7267,4.04,2.5315,Noun,461.0,0.87,Noun.Adjective.Name.Verb,461.68.2.1,68
unholy,68,62,61,57,1.33,1.8388,0.74,1.7993,Adjective,68.0,1.0,Adjective,68,68
waxed,69,56,67,55,1.35,1.8451,0.67,1.7559,Adjective,68.0,0.99,Adjective.Verb,68.1,68
arterial,68,55,58,49,1.33,1.8388,0.66,1.7482,Adjective,67.0,0.99,Adjective.Name,67.1,67
associate,458,375,434,364,8.98,2.6618,4.47,2.5752,Noun,295.0,0.64,Noun.Verb.Adjective,295.99.67,67
barbed,67,52,60,48,1.31,1.8325,0.62,1.7243,Adjective,67.0,1.0,Adjective,67,67
carefree,69,59,66,56,1.35,1.8451,0.7,1.7782,Adjective,67.0,0.99,Adjective.Name,67.1,67
condemned,232,175,214,161,4.55,2.3674,2.09,2.2455,Verb,164.0,0.71,Verb.Adjective,164.67,67
decisive,66,64,65,63,1.29,1.8261,0.76,1.8129,Adjective,67.0,1.0,Adjective,67,67
even,44672,7931,38346,7775,875.92,4.65,94.55,3.8994,Adverb,38837.0,0.87,Adverb.Conjunction.Verb.Adjective.Noun,38837.5601.121.67.5,67
excruciating,67,59,65,58,1.31,1.8325,0.7,1.7782,Adjective,67.0,1.0,Adjective,67,67
geographic,67,59,18,17,1.31,1.8325,0.7,1.7782,Adjective,67.0,1.0,Adjective,67,67
hearty,99,88,91,85,1.94,2.0,1.05,1.9494,Adjective,67.0,0.68,Adjective.Noun,67.31,67
increasing,162,145,152,135,3.18,2.2122,1.73,2.1644,Verb,94.0,0.58,Verb.Adjective,94.67,67
indoor,68,59,61,54,1.33,1.8388,0.7,1.7782,Adjective,67.0,1.0,Adjective,67,67
jen,856,167,3,2,16.78,2.933,1.99,2.2253,Name,481.0,0.57,Name.Noun.Adjective,481.303.67,67
loveliest,67,57,64,54,1.31,1.8325,0.68,1.7634,Adjective,67.0,1.0,Adjective,67,67
metallic,67,58,58,51,1.31,1.8325,0.69,1.7709,Adjective,67.0,1.0,Adjective,67,67
nagging,122,110,118,106,2.39,2.0899,1.31,2.0453,Adjective,67.0,0.55,Adjective.Verb.Noun,67.54.1,67
overwhelmed,201,182,191,175,3.94,2.3054,2.17,2.2625,Verb,134.0,0.67,Verb.Adjective,134.67,67
scarier,68,63,65,60,1.33,1.8388,0.75,1.8062,Adjective,67.0,0.99,Adjective.Noun,67.1,67
spreading,344,293,327,280,6.75,2.5378,3.49,2.4683,Verb,250.0,0.73,Verb.Adjective.Noun,250.67.26,67
unannounced,67,63,65,62,1.31,1.8325,0.75,1.8062,Adjective,67.0,1.0,Adjective,67,67
undressed,123,106,122,106,2.41,2.0934,1.26,2.0294,Adjective,67.0,0.54,Adjective.Verb,67.56,67
adolescent,94,86,92,85,1.84,1.9777,1.03,1.9395,Adjective,66.0,0.7,Adjective.Noun,66.28,66
alrighty,83,76,6,6,1.63,1.9243,0.91,1.8865,Adjective,66.0,0.8,Adjective.Name,66.17,66
attentive,66,63,65,62,1.29,1.8261,0.75,1.8062,Adjective,66.0,1.0,Adjective,66,66
blinding,75,65,68,59,1.47,1.8808,0.77,1.8195,Adjective,66.0,0.88,Adjective.Verb,66.9,66
caring,359,321,339,305,7.04,2.5563,3.83,2.5079,Verb,210.0,0.58,Verb.Noun.Adjective,210.83.66,66
condescending,66,58,63,57,1.29,1.8261,0.69,1.7709,Adjective,66.0,1.0,Adjective,66,66
daft,68,60,61,55,1.33,1.8388,0.72,1.7853,Adjective,66.0,1.0,Adjective,66,66
defenseless,68,63,63,59,1.33,1.8388,0.75,1.8062,Adjective,66.0,0.99,Adjective.Name,66.1,66
energetic,66,58,62,54,1.29,1.8261,0.69,1.7709,Adjective,66.0,1.0,Adjective,66,66
harmful,66,54,62,53,1.29,1.8261,0.64,1.7404,Adjective,66.0,1.0,Adjective,66,66
hypnotic,67,42,55,35,1.31,1.8325,0.5,1.6335,Adjective,66.0,1.0,Adjective,66,66
impolite,66,60,66,60,1.29,1.8261,0.72,1.7853,Adjective,66.0,1.0,Adjective,66,66
invaluable,66,62,65,62,1.29,1.8261,0.74,1.7993,Adjective,66.0,1.0,Adjective,66,66
lucrative,66,62,64,60,1.29,1.8261,0.74,1.7993,Adjective,66.0,1.0,Adjective,66,66
perverse,66,62,62,59,1.29,1.8261,0.74,1.7993,Adjective,66.0,1.0,Adjective,66,66
pleasing,79,70,79,70,1.55,1.9031,0.83,1.8513,Adjective,66.0,0.84,Adjective.Verb,66.13,66
plump,75,62,70,59,1.47,1.8808,0.74,1.7993,Adjective,66.0,0.88,Adjective.Verb.Noun,66.8.1,66
renowned,67,61,64,61,1.31,1.8325,0.73,1.7924,Adjective,66.0,1.0,Adjective,66,66
required,547,459,544,457,10.73,2.7388,5.47,2.6628,Verb,479.0,0.88,Verb.Adjective.Noun,479.66.2,66
swollen,165,143,161,139,3.24,2.2201,1.7,2.1584,Verb,99.0,0.6,Verb.Adjective,99.66,66
unpopular,66,59,64,58,1.29,1.8261,0.7,1.7782,Adjective,66.0,1.0,Adjective,66,66
victorian,67,51,3,3,1.31,1.8325,0.61,1.716,Adjective,66.0,0.99,Adjective.Noun,66.1,66
victorious,66,58,62,55,1.29,1.8261,0.69,1.7709,Adjective,66.0,1.0,Adjective,66,66
visionary,66,58,64,57,1.29,1.8261,0.69,1.7709,Adjective,66.0,1.0,Adjective,66,66
alpine,65,21,6,4,1.27,1.8195,0.25,1.3424,Adjective,65.0,1.0,Adjective,65,65
bearded,65,55,55,48,1.27,1.8195,0.66,1.7482,Adjective,65.0,1.0,Adjective,65,65
buried,1738,1095,1675,1067,34.08,3.2403,13.05,3.0398,Verb,1669.0,0.96,Verb.Adjective,1669.65,65
butch,328,122,58,52,6.43,2.5172,1.45,2.0899,Name,262.0,0.8,Name.Adjective,262.65,65
catastrophic,65,58,59,56,1.27,1.8195,0.69,1.7709,Adjective,65.0,1.0,Adjective,65,65
dazzling,66,60,57,53,1.29,1.8261,0.72,1.7853,Adjective,65.0,0.98,Adjective.Verb,65.1,65
fruity,66,55,57,49,1.29,1.8261,0.66,1.7482,Adjective,65.0,1.0,Adjective,65,65
infectious,65,52,60,47,1.27,1.8195,0.62,1.7243,Adjective,65.0,1.0,Adjective,65,65
intimidating,70,63,63,57,1.37,1.8513,0.75,1.8062,Adjective,65.0,0.93,Adjective.Verb,65.5,65
lewd,65,48,59,46,1.27,1.8195,0.57,1.6902,Adjective,65.0,1.0,Adjective,65,65
lucid,65,54,64,54,1.27,1.8195,0.64,1.7404,Adjective,65.0,1.0,Adjective,65,65
lunatic,433,345,414,335,8.49,2.6375,4.11,2.5391,Noun,368.0,0.85,Noun.Adjective,368.65,65
outraged,66,60,58,53,1.29,1.8261,0.72,1.7853,Adjective,65.0,1.0,Adjective,65,65
penal,66,58,52,46,1.29,1.8261,0.69,1.7709,Adjective,65.0,1.0,Adjective,65,65
posh,65,50,43,35,1.27,1.8195,0.6,1.7076,Adjective,65.0,1.0,Adjective,65,65
runny,65,52,63,51,1.27,1.8195,0.62,1.7243,Adjective,65.0,1.0,Adjective,65,65
sharper,65,49,55,43,1.27,1.8195,0.58,1.699,Adjective,65.0,1.0,Adjective,65,65
snotty,65,54,58,50,1.27,1.8195,0.64,1.7404,Adjective,65.0,1.0,Adjective,65,65
susceptible,65,58,61,56,1.27,1.8195,0.69,1.7709,Adjective,65.0,1.0,Adjective,65,65
tame,139,108,129,104,2.73,2.1461,1.29,2.0374,Verb,75.0,0.54,Verb.Adjective,75.65,65
tasteful,69,59,57,50,1.35,1.8451,0.7,1.7782,Adjective,65.0,0.93,Adjective.Name,65.5,65
tolerant,65,55,64,55,1.27,1.8195,0.66,1.7482,Adjective,65.0,1.0,Adjective,65,65
unclean,65,46,58,42,1.27,1.8195,0.55,1.6721,Adjective,65.0,1.0,Adjective,65,65
vaginal,66,54,62,51,1.29,1.8261,0.64,1.7404,Adjective,65.0,0.98,Adjective.Name,65.1,65
vic,998,183,162,70,19.57,2.9996,2.18,2.2648,Name,739.0,0.74,Name.Noun.Adjective,739.192.65,65
weakest,65,58,63,58,1.27,1.8195,0.69,1.7709,Adjective,65.0,1.0,Adjective,65,65
cheeky,64,59,46,44,1.25,1.8129,0.7,1.7782,Adjective,64.0,1.0,Adjective,64,64
cracked,492,427,481,420,9.65,2.6928,5.09,2.6314,Verb,425.0,0.87,Verb.Adjective,425.64,64
deformed,66,51,60,50,1.29,1.8261,0.61,1.716,Adjective,64.0,0.97,Adjective.Verb,64.2,64
editorial,111,84,102,77,2.18,2.0492,1.0,1.9294,Adjective,64.0,0.58,Adjective.Noun,64.47,64
envious,64,59,63,58,1.25,1.8129,0.7,1.7782,Adjective,64.0,1.0,Adjective,64,64
haywire,64,43,42,38,1.25,1.8129,0.51,1.6435,Adjective,64.0,1.0,Adjective,64,64
healthier,64,62,61,59,1.25,1.8129,0.74,1.7993,Adjective,64.0,1.0,Adjective,64,64
hispanic,64,40,16,8,1.25,1.8129,0.48,1.6128,Adjective,64.0,1.0,Adjective,64,64
hypocritical,64,58,63,57,1.25,1.8129,0.69,1.7709,Adjective,64.0,1.0,Adjective,64,64
mid,64,56,56,50,1.25,1.8129,0.67,1.7559,Adjective,64.0,1.0,Adjective,64,64
mocking,158,130,149,122,3.1,2.2014,1.55,2.1173,Verb,90.0,0.57,Verb.Adjective.Noun,90.64.3,64
paranormal,67,48,59,44,1.31,1.8325,0.57,1.6902,Adjective,64.0,0.96,Adjective.Name,64.3,64
portuguese,124,69,0,0,2.43,2.0969,0.82,1.8451,Adjective,64.0,0.52,Adjective.Noun,64.59,64
prejudiced,95,78,94,78,1.86,1.9823,0.93,1.8976,Adjective,64.0,0.69,Adjective.Verb,64.29,64
prosperous,64,60,63,59,1.25,1.8129,0.72,1.7853,Adjective,64.0,1.0,Adjective,64,64
ragged,80,75,78,74,1.57,1.9085,0.89,1.8808,Adjective,64.0,0.8,Adjective.Verb,64.16,64
residual,64,57,61,55,1.25,1.8129,0.68,1.7634,Adjective,64.0,1.0,Adjective,64,64
sedate,64,58,61,55,1.25,1.8129,0.69,1.7709,Adjective,64.0,1.0,Adjective,64,64
arabian,63,45,0,0,1.24,1.8062,0.54,1.6628,Adjective,63.0,1.0,Adjective,63,63
architectural,65,51,52,41,1.27,1.8195,0.61,1.716,Adjective,63.0,0.97,Adjective.Noun.Name,63.1.1,63
baddest,64,55,61,53,1.25,1.8129,0.66,1.7482,Adjective,63.0,0.98,Adjective.Name,63.1,63
beige,69,51,64,47,1.35,1.8451,0.61,1.716,Adjective,63.0,0.93,Adjective.Noun,63.5,63
breathtaking,63,56,54,50,1.24,1.8062,0.67,1.7559,Adjective,63.0,1.0,Adjective,63,63
combined,211,195,198,187,4.14,2.3263,2.32,2.2923,Verb,148.0,0.7,Verb.Adjective,148.63,63
esteemed,75,70,75,70,1.47,1.8808,0.83,1.8513,Adjective,63.0,0.84,Adjective.Verb,63.12,63
flawed,63,54,62,53,1.24,1.8062,0.64,1.7404,Adjective,63.0,1.0,Adjective,63,63
gullible,64,56,58,51,1.25,1.8129,0.67,1.7559,Adjective,63.0,0.98,Adjective.Name,63.1,63
heated,132,120,126,114,2.59,2.1239,1.43,2.0828,Verb,68.0,0.52,Verb.Adjective,68.63,63
lifeless,64,55,61,53,1.25,1.8129,0.66,1.7482,Adjective,63.0,1.0,Adjective,63,63
melodramatic,62,51,58,49,1.22,1.7993,0.61,1.716,Adjective,63.0,1.0,Adjective,63,63
schizophrenic,117,90,115,89,2.29,2.0719,1.07,1.959,Adjective,63.0,0.54,Adjective.Noun,63.54,63
select,180,160,149,139,3.53,2.2577,1.91,2.2068,Verb,116.0,0.64,Verb.Adjective.Noun,116.63.1,63
serene,63,51,54,47,1.24,1.8062,0.61,1.716,Adjective,63.0,1.0,Adjective,63,63
socialist,65,47,43,35,1.27,1.8195,0.56,1.6812,Adjective,63.0,0.97,Adjective.Noun,63.2,63
adventurous,62,56,61,55,1.22,1.7993,0.67,1.7559,Adjective,62.0,1.0,Adjective,62,62
cheerleading,140,74,127,69,2.75,2.1492,0.88,1.8751,Verb,65.0,0.46,Verb.Adjective.Noun.Name,65.62.9.5,62
circular,81,68,72,64,1.59,1.9138,0.81,1.8388,Adjective,62.0,0.77,Adjective.Noun,62.19,62
conscientious,62,50,53,47,1.22,1.7993,0.6,1.7076,Adjective,62.0,1.0,Adjective,62,62
courteous,62,55,59,53,1.22,1.7993,0.66,1.7482,Adjective,62.0,1.0,Adjective,62,62
developing,286,254,281,249,5.61,2.4579,3.03,2.4065,Verb,222.0,0.78,Verb.Adjective.Noun,222.62.1,62
elevated,127,110,114,99,2.49,2.1072,1.31,2.0453,Verb,65.0,0.51,Verb.Adjective,65.62,62
exhausting,111,103,105,98,2.18,2.0492,1.23,2.017,Adjective,62.0,0.56,Adjective.Verb,62.49,62
hefty,62,49,48,40,1.22,1.7993,0.58,1.699,Adjective,62.0,1.0,Adjective,62,62
howling,183,124,159,116,3.59,2.2648,1.48,2.0969,Verb,119.0,0.66,Verb.Adjective,119.62,62
inspirational,62,54,56,51,1.22,1.7993,0.64,1.7404,Adjective,62.0,1.0,Adjective,62,62
jumbo,144,114,110,95,2.82,2.1614,1.36,2.0607,Noun,80.0,0.56,Noun.Adjective.Name,80.62.2,62
manifest,188,130,178,123,3.69,2.2765,1.55,2.1173,Verb,96.0,0.51,Verb.Adjective.Noun,96.62.30,62
melancholy,111,83,88,70,2.18,2.0492,0.99,1.9243,Adjective,62.0,0.56,Adjective.Noun,62.49,62
nocturnal,62,56,51,48,1.22,1.7993,0.67,1.7559,Adjective,62.0,1.0,Adjective,62,62
observant,62,60,61,59,1.22,1.7993,0.72,1.7853,Adjective,62.0,1.0,Adjective,62,62
ole,124,44,12,12,2.43,2.0969,0.52,1.6532,Adjective,62.0,0.51,Adjective.Interjection,62.60,62
pappy,150,48,38,28,2.94,2.179,0.57,1.6902,Name,88.0,0.59,Name.Adjective,88.62,62
penniless,63,56,58,53,1.24,1.8062,0.67,1.7559,Adjective,62.0,1.0,Adjective,62,62
platonic,62,47,54,41,1.22,1.7993,0.56,1.6812,Adjective,62.0,1.0,Adjective,62,62
possessive,65,59,62,57,1.27,1.8195,0.7,1.7782,Adjective,62.0,0.95,Adjective.Noun,62.3,62
premier,127,74,75,57,2.49,2.1072,0.88,1.8751,Noun,64.0,0.5,Noun.Adjective.Unclassified,64.62.1,62
saucy,62,46,51,40,1.22,1.7993,0.55,1.6721,Adjective,62.0,1.0,Adjective,62,62
stingy,63,54,56,49,1.24,1.8062,0.64,1.7404,Adjective,62.0,0.98,Adjective.Name,62.1,62
umbilical,62,51,58,47,1.22,1.7993,0.61,1.716,Adjective,62.0,1.0,Adjective,62,62
unnoticed,62,57,61,57,1.22,1.7993,0.68,1.7634,Adjective,62.0,1.0,Adjective,62,62
unprotected,63,54,61,52,1.24,1.8062,0.64,1.7404,Adjective,62.0,0.98,Adjective.Noun,62.1,62
untold,62,49,52,43,1.22,1.7993,0.58,1.699,Adjective,62.0,1.0,Adjective,62,62
bony,61,50,52,43,1.2,1.7924,0.6,1.7076,Adjective,61.0,1.0,Adjective,61,61
carnal,61,51,56,49,1.2,1.7924,0.61,1.716,Adjective,61.0,1.0,Adjective,61,61
conceivable,61,55,61,55,1.2,1.7924,0.66,1.7482,Adjective,61.0,1.0,Adjective,61,61
conclusive,61,57,57,53,1.2,1.7924,0.68,1.7634,Adjective,61.0,1.0,Adjective,61,61
culinary,61,58,59,56,1.2,1.7924,0.69,1.7709,Adjective,61.0,1.0,Adjective,61,61
dainty,61,42,53,39,1.2,1.7924,0.5,1.6335,Adjective,61.0,1.0,Adjective,61,61
disoriented,62,58,62,58,1.22,1.7993,0.69,1.7709,Adjective,61.0,0.98,Adjective.Verb,61.1,61
fickle,60,55,57,53,1.18,1.7853,0.66,1.7482,Adjective,61.0,1.0,Adjective,61,61
frivolous,61,52,55,51,1.2,1.7924,0.62,1.7243,Adjective,61.0,1.0,Adjective,61,61
heartbreaking,61,58,55,52,1.2,1.7924,0.69,1.7709,Adjective,61.0,1.0,Adjective,61,61
hilly,62,14,5,5,1.22,1.7993,0.17,1.1761,Adjective,61.0,1.0,Adjective,61,61
insolent,61,53,56,49,1.2,1.7924,0.63,1.7324,Adjective,61.0,1.0,Adjective,61,61
leftover,61,58,59,56,1.2,1.7924,0.69,1.7709,Adjective,61.0,1.0,Adjective,61,61
merciless,61,57,55,53,1.2,1.7924,0.68,1.7634,Adjective,61.0,1.0,Adjective,61,61
merrier,62,62,61,61,1.22,1.7993,0.74,1.7993,Adjective,61.0,1.0,Adjective,61,61
ripped,972,745,612,494,19.06,2.9881,8.88,2.8727,Verb,909.0,0.94,Verb.Adjective,909.61,61
routine,1012,748,977,729,19.84,3.0056,8.92,2.8745,Noun,952.0,0.94,Noun.Adjective,952.61,61
spotless,60,54,55,53,1.18,1.7853,0.64,1.7404,Adjective,61.0,1.0,Adjective,61,61
unavoidable,61,58,55,54,1.2,1.7924,0.69,1.7709,Adjective,61.0,1.0,Adjective,61,61
anesthetic,68,53,65,52,1.33,1.8388,0.63,1.7324,Adjective,60.0,0.88,Adjective.Noun.Name,60.7.1,60
backstage,261,181,243,174,5.12,2.4183,2.16,2.2601,Adverb,201.0,0.77,Adverb.Adjective,201.60,60
bashful,63,55,59,51,1.24,1.8062,0.66,1.7482,Adjective,60.0,0.95,Adjective.Name,60.3,60
brazen,60,50,58,49,1.18,1.7853,0.6,1.7076,Adjective,60.0,1.0,Adjective,60,60
bruising,86,67,83,65,1.69,1.9395,0.8,1.8325,Adjective,60.0,0.7,Adjective.Verb,60.26,60
cast,1180,797,1074,735,23.14,3.0722,9.5,2.902,Verb,848.0,0.72,Verb.Noun.Adjective,848.272.60,60
chevy,175,106,1,1,3.43,2.2455,1.26,2.0294,Noun,78.0,0.45,Noun.Adjective.Name,78.60.35,60
chopped,232,201,224,197,4.55,2.3674,2.4,2.3054,Verb,172.0,0.74,Verb.Adjective,172.60,60
confirmed,689,494,631,467,13.51,2.8388,5.89,2.6946,Verb,628.0,0.91,Verb.Adjective,628.60,60
driven,524,454,502,441,10.27,2.7202,5.41,2.658,Verb,463.0,0.88,Verb.Adjective.Noun,463.60.1,60
drowning,368,285,341,270,7.22,2.567,3.4,2.4564,Verb,221.0,0.6,Verb.Noun.Adjective,221.85.60,60
evolutionary,60,47,56,44,1.18,1.7853,0.56,1.6812,Adjective,60.0,1.0,Adjective,60,60
foggy,66,59,57,51,1.29,1.8261,0.7,1.7782,Adjective,60.0,0.92,Adjective.Name,60.5,60
frasier,1179,110,0,0,23.12,3.0719,1.31,2.0453,Name,800.0,0.68,Name.Noun.Adjective,800.314.60,60
grotesque,80,68,72,63,1.57,1.9085,0.81,1.8388,Adjective,60.0,0.74,Adjective.Noun,60.21,60
hereditary,60,55,53,51,1.18,1.7853,0.66,1.7482,Adjective,60.0,1.0,Adjective,60,60
icky,61,36,56,31,1.2,1.7924,0.43,1.5682,Adjective,60.0,0.97,Adjective.Name,60.2,60
infernal,60,53,56,49,1.18,1.7853,0.63,1.7324,Adjective,60.0,1.0,Adjective,60,60
managing,173,151,162,145,3.39,2.2405,1.8,2.1818,Verb,97.0,0.56,Verb.Adjective.Noun,97.60.16,60
meaner,60,53,55,49,1.18,1.7853,0.63,1.7324,Adjective,60.0,1.0,Adjective,60,60
newfound,60,53,56,51,1.18,1.7853,0.63,1.7324,Adjective,60.0,1.0,Adjective,60,60
ornery,60,48,51,43,1.18,1.7853,0.57,1.6902,Adjective,60.0,1.0,Adjective,60,60
pertinent,60,52,58,51,1.18,1.7853,0.62,1.7243,Adjective,60.0,1.0,Adjective,60,60
pretend,2056,1565,1828,1417,40.31,3.3132,18.66,3.1948,Verb,1994.0,0.97,Verb.Adjective,1994.60,60
pubic,60,45,52,39,1.18,1.7853,0.54,1.6628,Adjective,60.0,1.0,Adjective,60,60
receptive,60,58,59,58,1.18,1.7853,0.69,1.7709,Adjective,60.0,1.0,Adjective,60,60
selective,60,56,44,41,1.18,1.7853,0.67,1.7559,Adjective,60.0,1.0,Adjective,60,60
uncharted,60,54,55,49,1.18,1.7853,0.64,1.7404,Adjective,60.0,1.0,Adjective,60,60
ballistic,59,53,56,51,1.16,1.7782,0.63,1.7324,Adjective,59.0,1.0,Adjective,59,59
biting,250,213,242,209,4.9,2.3997,2.54,2.3304,Verb,191.0,0.76,Verb.Adjective,191.59,59
bouncing,217,177,196,171,4.25,2.3385,2.11,2.2504,Verb,158.0,0.73,Verb.Adjective,158.59,59
celebrated,138,132,134,128,2.71,2.143,1.57,2.1239,Verb,79.0,0.57,Verb.Adjective,79.59,59
cordial,62,40,54,36,1.22,1.7993,0.48,1.6128,Adjective,59.0,0.95,Adjective.Name,59.3,59
creamy,60,52,52,45,1.18,1.7853,0.62,1.7243,Adjective,59.0,1.0,Adjective,59,59
distasteful,60,55,59,54,1.18,1.7853,0.66,1.7482,Adjective,59.0,1.0,Adjective,59,59
dormant,59,55,56,52,1.16,1.7782,0.66,1.7482,Adjective,59.0,1.0,Adjective,59,59
fetal,59,37,43,33,1.16,1.7782,0.44,1.5798,Adjective,59.0,1.0,Adjective,59,59
fluent,59,52,55,49,1.16,1.7782,0.62,1.7243,Adjective,59.0,1.0,Adjective,59,59
frightful,59,52,54,51,1.16,1.7782,0.62,1.7243,Adjective,59.0,1.0,Adjective,59,59
hula,100,44,75,37,1.96,2.0043,0.52,1.6532,Adjective,59.0,0.59,Adjective.Noun.Name,59.33.8,59
incriminating,63,57,60,55,1.24,1.8062,0.68,1.7634,Adjective,59.0,0.94,Adjective.Verb,59.4,59
indebted,59,55,59,55,1.16,1.7782,0.66,1.7482,Adjective,59.0,1.0,Adjective,59,59
invasive,59,50,53,47,1.16,1.7782,0.6,1.7076,Adjective,59.0,1.0,Adjective,59,59
molten,59,41,54,39,1.16,1.7782,0.49,1.6232,Adjective,59.0,1.0,Adjective,59,59
playful,59,51,53,46,1.16,1.7782,0.61,1.716,Adjective,59.0,1.0,Adjective,59,59
rotting,166,151,164,149,3.25,2.2227,1.8,2.1818,Verb,89.0,0.54,Verb.Adjective.Noun,89.59.17,59
rural,59,47,45,41,1.16,1.7782,0.56,1.6812,Adjective,59.0,1.0,Adjective,59,59
untraceable,59,55,53,50,1.16,1.7782,0.66,1.7482,Adjective,59.0,1.0,Adjective,59,59
unwilling,59,56,56,53,1.16,1.7782,0.67,1.7559,Adjective,59.0,1.0,Adjective,59,59
volatile,59,55,57,53,1.16,1.7782,0.66,1.7482,Adjective,59.0,1.0,Adjective,59,59
abrupt,58,56,56,54,1.14,1.7709,0.67,1.7559,Adjective,58.0,1.0,Adjective,58,58
aged,183,155,163,147,3.59,2.2648,1.85,2.1931,Verb,89.0,0.49,Verb.Adjective.Preposition,89.58.35,58
aging,131,102,127,100,2.57,2.1206,1.22,2.0128,Adjective,58.0,0.44,Adjective.Noun.Verb,58.46.27,58
autistic,58,29,53,29,1.14,1.7709,0.35,1.4771,Adjective,58.0,1.0,Adjective,58,58
backward,159,129,141,120,3.12,2.2041,1.54,2.1139,Adverb,100.0,0.63,Adverb.Adjective,100.58,58
benign,58,49,57,49,1.14,1.7709,0.58,1.699,Adjective,58.0,1.0,Adjective,58,58
binding,111,95,108,94,2.18,2.0492,1.13,1.9823,Adjective,58.0,0.52,Adjective.Verb.Noun,58.52.1,58
blatant,58,52,56,51,1.14,1.7709,0.62,1.7243,Adjective,58.0,1.0,Adjective,58,58
braver,58,50,53,47,1.14,1.7709,0.6,1.7076,Adjective,58.0,1.0,Adjective,58,58
canine,86,71,74,65,1.69,1.9395,0.85,1.8573,Adjective,58.0,0.67,Adjective.Noun,58.28,58
comprehensive,58,54,51,48,1.14,1.7709,0.64,1.7404,Adjective,58.0,1.0,Adjective,58,58
concealed,116,106,111,103,2.27,2.0682,1.26,2.0294,Verb,58.0,0.5,Verb.Adjective,58.58,58
deceitful,58,53,57,52,1.14,1.7709,0.63,1.7324,Adjective,58.0,1.0,Adjective,58,58
floppy,58,41,41,35,1.14,1.7709,0.49,1.6232,Adjective,58.0,1.0,Adjective,58,58
honoured,156,115,151,113,3.06,2.1959,1.37,2.0645,Verb,98.0,0.63,Verb.Adjective,98.58,58
